Size,Threshold,Time,Array Type
500,5,408.8,Random Array
500,5,371.7,Reversed Array
500,5,449.7,Nearly Sorted Array
500,10,301.9,Random Array
500,10,257.7,Reversed Array
500,10,251.1,Nearly Sorted Array
500,15,257.3,Random Array
500,15,244.7,Reversed Array
500,15,224.8,Nearly Sorted Array
500,20,225.6,Random Array
500,20,230.7,Reversed Array
500,20,187.8,Nearly Sorted Array
500,30,214.3,Random Array
500,30,215.6,Reversed Array
500,30,178.4,Nearly Sorted Array
500,50,190.6,Random Array
500,50,237.8,Reversed Array
500,50,139.3,Nearly Sorted Array
600,5,608.2,Random Array
600,5,416.6,Reversed Array
600,5,415.1,Nearly Sorted Array
600,10,317,Random Array
600,10,295,Reversed Array
600,10,286.9,Nearly Sorted Array
600,15,372.4,Random Array
600,15,319.6,Reversed Array
600,15,300.2,Nearly Sorted Array
600,20,257,Random Array
600,20,257.4,Reversed Array
600,20,202.7,Nearly Sorted Array
600,30,256.4,Random Array
600,30,257.5,Reversed Array
600,30,202,Nearly Sorted Array
600,50,241,Random Array
600,50,303.3,Reversed Array
600,50,165.5,Nearly Sorted Array
700,5,603.7,Random Array
700,5,905.2,Reversed Array
700,5,655.4,Nearly Sorted Array
700,10,491.7,Random Array
700,10,494.2,Reversed Array
700,10,494.4,Nearly Sorted Array
700,15,376.8,Random Array
700,15,343.4,Reversed Array
700,15,305.4,Nearly Sorted Array
700,20,386.7,Random Array
700,20,327.6,Reversed Array
700,20,302.2,Nearly Sorted Array
700,30,288.9,Random Array
700,30,311.4,Reversed Array
700,30,227.6,Nearly Sorted Array
700,50,299.3,Random Array
700,50,387.3,Reversed Array
700,50,193.5,Nearly Sorted Array
800,5,783,Random Array
800,5,790.8,Reversed Array
800,5,864.5,Nearly Sorted Array
800,10,564.6,Random Array
800,10,477.1,Reversed Array
800,10,529.6,Nearly Sorted Array
800,15,390.5,Random Array
800,15,369.2,Reversed Array
800,15,334.4,Nearly Sorted Array
800,20,393,Random Array
800,20,372,Reversed Array
800,20,336,Nearly Sorted Array
800,30,333.6,Random Array
800,30,365.9,Reversed Array
800,30,258.5,Nearly Sorted Array
800,50,364.2,Random Array
800,50,489.6,Reversed Array
800,50,229.9,Nearly Sorted Array
900,5,924.7,Random Array
900,5,903.3,Reversed Array
900,5,943.9,Nearly Sorted Array
900,10,564.6,Random Array
900,10,512.3,Reversed Array
900,10,575.8,Nearly Sorted Array
900,15,429.6,Random Array
900,15,413.6,Reversed Array
900,15,362.3,Nearly Sorted Array
900,20,433.3,Random Array
900,20,414,Reversed Array
900,20,363.9,Nearly Sorted Array
900,30,380.8,Random Array
900,30,462.3,Reversed Array
900,30,300.5,Nearly Sorted Array
900,50,392.4,Random Array
900,50,438.8,Reversed Array
