N	Scale	ApproxArea	Error
100	3x3	0.63	0.314517
600	3x3	0.945	0.000482814
1100	3x3	0.957273	0.0127555
1600	3x3	0.9675	0.0229828
2100	3x3	0.99	0.0454828
2600	3x3	1.00385	0.059329
3100	3x3	0.99871	0.0541925
3600	3x3	1.005	0.0604828
4100	3x3	1.00317	0.0586535
4600	3x3	0.980217	0.0357002
5100	3x3	0.963529	0.0190122
5600	3x3	0.959464	0.0149471
6100	3x3	0.964918	0.0204008
6600	3x3	0.976364	0.0318465
7100	3x3	0.967183	0.0226659
7600	3x3	0.963947	0.0194302
8100	3x3	0.967778	0.0232606
8600	3x3	0.971163	0.0266456
9100	3x3	0.966264	0.0217466
9600	3x3	0.96	0.0154828
10100	3x3	0.955248	0.0107303
10600	3x3	0.95434	0.00982244
11100	3x3	0.961622	0.0171044
11600	3x3	0.965948	0.0214311
12100	3x3	0.961736	0.0172184
12600	3x3	0.955	0.0104828
13100	3x3	0.951527	0.00700953
13600	3x3	0.952941	0.00842399
14100	3x3	0.964468	0.0199509
14600	3x3	0.961644	0.0171266
15100	3x3	0.956026	0.0115093
15600	3x3	0.959423	0.0149059
16100	3x3	0.959255	0.0147375
16600	3x3	0.960181	0.0156635
17100	3x3	0.961579	0.0170618
17600	3x3	0.957273	0.0127555
18100	3x3	0.957182	0.0126651
18600	3x3	0.95371	0.00919249
19100	3x3	0.954188	0.0096713
19600	3x3	0.958776	0.0142583
20100	3x3	0.958209	0.0136918
20600	3x3	0.95767	0.0131527
21100	3x3	0.954171	0.00965343
21600	3x3	0.95125	0.00673281
22100	3x3	0.948462	0.00394435
22600	3x3	0.949381	0.00486335
23100	3x3	0.949091	0.00457372
23600	3x3	0.948051	0.00353366
24100	3x3	0.950415	0.00589775
24600	3x3	0.95122	0.00670233
25100	3x3	0.950916	0.00639915
25600	3x3	0.947461	0.00294375
26100	3x3	0.947241	0.00272419
26600	3x3	0.947368	0.00285124
27100	3x3	0.947823	0.00330569
27600	3x3	0.94337	0.00114762
28100	3x3	0.941957	0.00255989
28600	3x3	0.940909	0.00360809
29100	3x3	0.939278	0.00523884
29600	3x3	0.937703	0.00681448
30100	3x3	0.936777	0.00773978
30600	3x3	0.936471	0.0080466
31100	3x3	0.939068	0.00544966
31600	3x3	0.938449	0.00606782
32100	3x3	0.93729	0.00722747
32600	3x3	0.938374	0.00614295
33100	3x3	0.928006	0.0165111
33600	3x3	0.927054	0.0174636
34100	3x3	0.92956	0.0149571
34600	3x3	0.926792	0.0177253
35100	3x3	0.926667	0.0178505
35600	3x3	0.925787	0.0187307
36100	3x3	0.926427	0.0180906
36600	3x3	0.927049	0.017468
37100	3x3	0.926685	0.0178325
37600	3x3	0.928245	0.0162725
38100	3x3	0.929764	0.0147534
38600	3x3	0.930777	0.01374
39100	3x3	0.931304	0.0132128
39600	3x3	0.931818	0.012699
40100	3x3	0.930299	0.0142179
40600	3x3	0.931921	0.012596
41100	3x3	0.931095	0.0134223
41600	3x3	0.931154	0.0133633
42100	3x3	0.932067	0.0124507
42600	3x3	0.931479	0.0130383
43100	3x3	0.931949	0.0125682
43600	3x3	0.931995	0.0125218
44100	3x3	0.93102	0.0134968
44600	3x3	0.930673	0.0138445
45100	3x3	0.930532	0.013985
45600	3x3	0.931579	0.0129382
46100	3x3	0.931236	0.0132807
46600	3x3	0.931674	0.0128434
47100	3x3	0.933631	0.0108866
47600	3x3	0.935357	0.00916004
48100	3x3	0.934241	0.010276
48600	3x3	0.933519	0.0109987
49100	3x3	0.93391	0.0106068
49600	3x3	0.933206	0.0113115
50100	3x3	0.931078	0.0134393
50600	3x3	0.931482	0.013035
51100	3x3	0.932935	0.0115818
51600	3x3	0.932093	0.0124242
52100	3x3	0.932303	0.0122139
52600	3x3	0.931312	0.0132054
53100	3x3	0.931186	0.0133307
53600	3x3	0.930728	0.0137896
54100	3x3	0.930776	0.0137408
54600	3x3	0.929835	0.014682
55100	3x3	0.930544	0.0139727
55600	3x3	0.930594	0.0139237
56100	3x3	0.930963	0.0135546
56600	3x3	0.931643	0.0128741
57100	3x3	0.9331	0.0114174
57600	3x3	0.932187	0.0123297
58100	3x3	0.93253	0.0119871
58600	3x3	0.93302	0.0114967
59100	3x3	0.932741	0.0117761
59600	3x3	0.932919	0.0115977
60100	3x3	0.934143	0.0103741
60600	3x3	0.935792	0.00872511
61100	3x3	0.935205	0.0093126
61600	3x3	0.935065	0.00945225
62100	3x3	0.934493	0.0100244
62600	3x3	0.935655	0.00886223
63100	3x3	0.938082	0.00643478
63600	3x3	0.939198	0.00531907
64100	3x3	0.940296	0.00422077
64600	3x3	0.941099	0.00341811
65100	3x3	0.940369	0.00414852
65600	3x3	0.941021	0.00349584
66100	3x3	0.941256	0.00326151
66600	3x3	0.94027	0.00424692
67100	3x3	0.9393	0.00521763
67600	3x3	0.941006	0.00351127
68100	3x3	0.93978	0.00473745
68600	3x3	0.938834	0.00568337
69100	3x3	0.938292	0.00622486
69600	3x3	0.938017	0.00649994
70100	3x3	0.938645	0.00587239
70600	3x3	0.940028	0.00448886
71100	3x3	0.940633	0.00388427
71600	3x3	0.941229	0.00328814
72100	3x3	0.942191	0.00232579
72600	3x3	0.941901	0.00261636
73100	3x3	0.942599	0.00191801
73600	3x3	0.943533	0.000984577
74100	3x3	0.944089	0.000428117
74600	3x3	0.942949	0.00156812
75100	3x3	0.944221	0.000296147
75600	3x3	0.943929	0.000588614
76100	3x3	0.943758	0.000758973
76600	3x3	0.942768	0.00174956
77100	3x3	0.938638	0.00587905
77600	3x3	0.937345	0.00717183
78100	3x3	0.937798	0.00671949
78600	3x3	0.937557	0.00695993
79100	3x3	0.937889	0.00662844
79600	3x3	0.937764	0.00675337
80100	3x3	0.938427	0.00609022
80600	3x3	0.937854	0.00666359
81100	3x3	0.938064	0.00645307
81600	3x3	0.938272	0.00624513
82100	3x3	0.938258	0.00625896
82600	3x3	0.938898	0.00561888
83100	3x3	0.938231	0.00628614
83600	3x3	0.938433	0.00608417
84100	3x3	0.938098	0.00641968
84600	3x3	0.938085	0.00643208
85100	3x3	0.937756	0.0067616
85600	3x3	0.937009	0.00750784
86100	3x3	0.937003	0.0075137
86600	3x3	0.937621	0.00689594
87100	3x3	0.936889	0.00762855
87600	3x3	0.937089	0.00742814
88100	3x3	0.9379	0.00661707
88600	3x3	0.939413	0.00510409
89100	3x3	0.940202	0.00431517
89600	3x3	0.939877	0.00463995
90100	3x3	0.940155	0.0043618
90600	3x3	0.941126	0.00339136
91100	3x3	0.941789	0.00272794
91600	3x3	0.941266	0.00325081
92100	3x3	0.940456	0.00406116
92600	3x3	0.940626	0.00389084
93100	3x3	0.939538	0.00497905
93600	3x3	0.939038	0.00547872
94100	3x3	0.939214	0.00530358
94600	3x3	0.938626	0.00589139
95100	3x3	0.938896	0.00562129
95600	3x3	0.938692	0.00582472
96100	3x3	0.938959	0.00555777
96600	3x3	0.939876	0.00464141
97100	3x3	0.939392	0.00512481
97600	3x3	0.939283	0.0052344
98100	3x3	0.939174	0.00534287
98600	3x3	0.939249	0.00526769
99100	3x3	0.938688	0.00582899
99600	3x3	0.939036	0.00548104
100	1.4x1.4	0.9996	0.0550828
600	1.4x1.4	0.914667	0.0298505
1100	1.4x1.4	0.933673	0.0108445
1600	1.4x1.4	0.9751	0.0305828
2100	1.4x1.4	0.976267	0.0317495
2600	1.4x1.4	0.9702	0.0256828
3100	1.4x1.4	0.972413	0.0278957
